Image,Distance(m),Error(m)
0000000005.png,17.50390625,62.49609375
0000000005.png,17.5078125,62.4921875
0000000005.png,17.5078125,62.4921875
0000000005.png,17.5078125,62.4921875
0000000005.png,17.375,62.625
0000000005.png,17.359375,62.640625
0000000005.png,17.328125,62.671875
0000000005.png,17.20703125,62.79296875
0000000005.png,16.91015625,63.08984375
0000000005.png,16.8515625,63.1484375
0000000005.png,16.87109375,63.12890625
0000000005.png,17.06640625,62.93359375
0000000005.png,16.421875,63.578125
0000000005.png,16.34765625,63.65234375
0000000005.png,16.32421875,63.67578125
0000000005.png,12.5,67.5
0000000005.png,40.8671875,39.1328125
0000000005.png,38.078125,41.921875
0000000005.png,38.0,42.0
0000000005.png,36.80078125,43.19921875
0000000005.png,36.703125,43.296875
0000000005.png,38.046875,41.953125
0000000005.png,37.58984375,42.41015625
0000000005.png,36.9296875,43.0703125
0000000005.png,36.1953125,43.8046875
0000000005.png,35.95703125,44.04296875
0000000005.png,35.73046875,44.26953125
0000000005.png,35.25390625,44.74609375
0000000005.png,35.1953125,44.8046875
0000000005.png,34.84765625,45.15234375
0000000005.png,18.14453125,61.85546875
0000000005.png,17.74609375,62.25390625
0000000005.png,17.8203125,62.1796875
0000000005.png,17.53125,62.46875
0000000005.png,17.5390625,62.4609375
0000000005.png,17.53515625,62.46484375
0000000005.png,17.5234375,62.4765625
0000000005.png,17.359375,62.640625
0000000005.png,17.2109375,62.7890625
0000000005.png,17.0859375,62.9140625
0000000005.png,16.98046875,63.01953125
0000000005.png,16.43359375,63.56640625
0000000005.png,16.390625,63.609375
0000000005.png,16.30859375,63.69140625
0000000005.png,25.3984375,54.6015625
0000000005.png,12.5546875,67.4453125
0000000005.png,13.0234375,66.9765625
0000000005.png,12.5703125,67.4296875
0000000005.png,18.88671875,61.11328125
0000000005.png,24.1484375,55.8515625
0000000005.png,24.74609375,55.25390625
0000000005.png,25.20703125,54.79296875
0000000005.png,25.34765625,54.65234375
0000000005.png,25.37109375,54.62890625
0000000005.png,25.36328125,54.63671875
0000000005.png,25.34375,54.65625
0000000005.png,25.28125,54.71875
0000000005.png,25.27734375,54.72265625
0000000005.png,25.2734375,54.7265625
0000000005.png,37.26953125,42.73046875
0000000005.png,41.02734375,38.97265625
0000000005.png,40.84375,39.15625
0000000005.png,40.1953125,39.8046875
0000000005.png,39.73046875,40.26953125
0000000005.png,39.359375,40.640625
0000000005.png,38.04296875,41.95703125
0000000005.png,38.5,41.5
0000000005.png,36.76953125,43.23046875
0000000005.png,36.71484375,43.28515625
0000000005.png,36.65234375,43.34765625
0000000005.png,36.81640625,43.18359375
0000000005.png,38.07421875,41.92578125
0000000005.png,36.890625,43.109375
0000000005.png,36.80859375,43.19140625
0000000005.png,37.18359375,42.81640625
0000000005.png,36.78125,43.21875
0000000005.png,36.24609375,43.75390625
0000000005.png,36.02734375,43.97265625
0000000005.png,35.23046875,44.76953125
0000000005.png,35.10546875,44.89453125
0000000005.png,34.890625,45.109375
0000000005.png,34.7734375,45.2265625
0000000005.png,34.70703125,45.29296875
0000000005.png,18.12890625,61.87109375
0000000005.png,17.875,62.125
0000000005.png,17.58203125,62.41796875
0000000005.png,17.5703125,62.4296875
0000000005.png,17.26171875,62.73828125
0000000005.png,17.26171875,62.73828125
0000000005.png,16.9453125,63.0546875
0000000005.png,17.03125,62.96875
0000000005.png,16.86328125,63.13671875
0000000005.png,17.0078125,62.9921875
0000000005.png,16.97265625,63.02734375
0000000005.png,12.578125,67.421875
0000000005.png,12.53125,67.46875
0000000005.png,12.640625,67.359375
0000000005.png,12.640625,67.359375
0000000005.png,23.8125,56.1875
0000000005.png,24.8125,55.1875
0000000005.png,24.8125,55.1875
0000000005.png,24.9609375,55.0390625
0000000005.png,25.140625,54.859375
0000000005.png,25.40625,54.59375
0000000005.png,25.28125,54.71875
0000000005.png,25.35546875,54.64453125
0000000005.png,25.31640625,54.68359375
0000000005.png,25.33203125,54.66796875
0000000005.png,25.3203125,54.6796875
0000000005.png,25.29296875,54.70703125
0000000005.png,25.28515625,54.71484375
0000000005.png,25.33203125,54.66796875
0000000005.png,25.4921875,54.5078125
0000000005.png,25.1328125,54.8671875
0000000005.png,25.14453125,54.85546875
0000000005.png,25.046875,54.953125
0000000005.png,25.046875,54.953125
0000000005.png,25.0,55.0
0000000005.png,25.015625,54.984375
0000000005.png,25.20703125,54.79296875
0000000005.png,25.25390625,54.74609375
0000000005.png,25.3984375,54.6015625
0000000005.png,25.4453125,54.5546875
0000000005.png,25.53515625,54.46484375
0000000005.png,25.67578125,54.32421875
0000000005.png,25.88671875,54.11328125
0000000005.png,26.0625,53.9375
0000000005.png,26.2265625,53.7734375
0000000005.png,26.4296875,53.5703125
0000000005.png,39.0,41.0
0000000005.png,38.9296875,41.0703125
0000000005.png,37.53125,42.46875
0000000005.png,37.0078125,42.9921875
0000000005.png,37.25390625,42.74609375
0000000005.png,37.5,42.5
0000000005.png,37.33203125,42.66796875
0000000005.png,37.15234375,42.84765625
0000000005.png,37.23046875,42.76953125
0000000005.png,37.19921875,42.80078125
0000000005.png,37.01171875,42.98828125
0000000005.png,38.28515625,41.71484375
0000000005.png,37.69921875,42.30078125
0000000005.png,38.51953125,41.48046875
0000000005.png,38.54296875,41.45703125
0000000005.png,46.79296875,33.20703125
0000000005.png,46.71875,33.28125
0000000005.png,46.8671875,33.1328125
0000000005.png,46.671875,33.328125
0000000005.png,48.4140625,31.5859375
0000000005.png,48.75390625,31.24609375
0000000005.png,48.43359375,31.56640625
0000000005.png,47.87890625,32.12109375
0000000005.png,48.02734375,31.97265625
0000000005.png,47.89453125,32.10546875
0000000005.png,48.88671875,31.11328125
0000000005.png,48.7265625,31.2734375
0000000005.png,48.7109375,31.2890625
0000000005.png,48.61328125,31.38671875
0000000005.png,43.4921875,36.5078125
0000000005.png,41.10546875,38.89453125
0000000005.png,40.75390625,39.24609375
0000000005.png,40.0703125,39.9296875
0000000005.png,39.97265625,40.02734375
0000000005.png,39.81640625,40.18359375
0000000005.png,39.08203125,40.91796875
0000000005.png,39.26953125,40.73046875
0000000005.png,38.47265625,41.52734375
0000000005.png,38.5,41.5
0000000005.png,37.8515625,42.1484375
0000000005.png,37.83984375,42.16015625
0000000005.png,36.66015625,43.33984375
0000000005.png,37.7734375,42.2265625
0000000005.png,37.72265625,42.27734375
0000000005.png,37.86328125,42.13671875
0000000005.png,37.68359375,42.31640625
0000000005.png,36.7734375,43.2265625
0000000005.png,17.8828125,62.1171875
0000000005.png,17.5546875,62.4453125
0000000005.png,17.54296875,62.45703125
0000000005.png,17.28125,62.71875
0000000005.png,17.05078125,62.94921875
0000000005.png,16.8671875,63.1328125
0000000005.png,29.47265625,50.52734375
0000000005.png,29.33203125,50.66796875
0000000005.png,29.20703125,50.79296875
0000000005.png,29.1328125,50.8671875
0000000005.png,29.03515625,50.96484375
0000000005.png,28.9921875,51.0078125
0000000005.png,28.84375,51.15625
0000000005.png,28.65234375,51.34765625
0000000005.png,28.6875,51.3125
0000000005.png,16.53515625,63.46484375
0000000005.png,16.36328125,63.63671875
0000000005.png,16.36328125,63.63671875
0000000005.png,16.34765625,63.65234375
0000000005.png,16.33203125,63.66796875
0000000005.png,12.59375,67.40625
0000000005.png,12.53125,67.46875
0000000005.png,12.5546875,67.4453125
0000000005.png,12.37109375,67.62890625
0000000005.png,12.3125,67.6875
0000000005.png,12.625,67.375
0000000005.png,12.78125,67.21875
0000000005.png,24.71875,55.28125
0000000005.png,24.9296875,55.0703125
0000000005.png,24.8984375,55.1015625
0000000005.png,25.07421875,54.92578125
0000000005.png,25.08203125,54.91796875
0000000005.png,25.39453125,54.60546875
0000000005.png,25.37109375,54.62890625
0000000005.png,25.3359375,54.6640625
0000000005.png,25.328125,54.671875
0000000005.png,25.32421875,54.67578125
0000000005.png,25.2890625,54.7109375
0000000005.png,25.30859375,54.69140625
0000000005.png,25.265625,54.734375
0000000005.png,25.265625,54.734375
0000000005.png,28.10546875,51.89453125
0000000005.png,25.12890625,54.87109375
0000000005.png,25.1171875,54.8828125
0000000005.png,25.0703125,54.9296875
0000000005.png,25.0625,54.9375
0000000005.png,25.0546875,54.9453125
0000000005.png,25.05078125,54.94921875
0000000005.png,25.30078125,54.69921875
0000000005.png,25.359375,54.640625
0000000005.png,25.50390625,54.49609375
0000000005.png,25.66015625,54.33984375
0000000005.png,25.90234375,54.09765625
0000000005.png,26.1171875,53.8828125
0000000005.png,26.0390625,53.9609375
0000000005.png,26.3125,53.6875
0000000005.png,26.24609375,53.75390625
0000000005.png,26.53515625,53.46484375
0000000005.png,26.62109375,53.37890625
0000000005.png,26.76953125,53.23046875
0000000005.png,26.73046875,53.26953125
0000000005.png,26.8671875,53.1328125
0000000005.png,26.94921875,53.05078125
0000000005.png,27.12109375,52.87890625
0000000005.png,27.31640625,52.68359375
0000000005.png,27.71875,52.28125
0000000005.png,27.8984375,52.1015625
0000000005.png,45.21484375,34.78515625
0000000005.png,45.09375,34.90625
0000000005.png,44.83203125,35.16796875
0000000005.png,45.7421875,34.2578125
0000000005.png,37.390625,42.609375
0000000005.png,37.6640625,42.3359375
0000000005.png,37.4296875,42.5703125
0000000005.png,37.59375,42.40625
0000000005.png,36.9609375,43.0390625
0000000005.png,36.8984375,43.1015625
0000000005.png,37.01171875,42.98828125
0000000005.png,37.06640625,42.93359375
0000000005.png,37.7265625,42.2734375
0000000005.png,37.8515625,42.1484375
0000000005.png,37.58984375,42.41015625
0000000005.png,37.4296875,42.5703125
0000000005.png,37.20703125,42.79296875
0000000005.png,37.34375,42.65625
0000000005.png,36.98828125,43.01171875
0000000005.png,38.4296875,41.5703125
0000000005.png,37.7578125,42.2421875
0000000005.png,37.78125,42.21875
0000000005.png,37.7109375,42.2890625
0000000005.png,60.44140625,19.55859375
0000000005.png,60.80078125,19.19921875
0000000005.png,60.78515625,19.21484375
0000000005.png,60.6328125,19.3671875
0000000005.png,60.890625,19.109375
0000000005.png,46.66015625,33.33984375
0000000005.png,46.87109375,33.12890625
0000000005.png,46.875,33.125
0000000005.png,46.43359375,33.56640625
0000000005.png,46.46875,33.53125
0000000005.png,46.44140625,33.55859375
0000000005.png,46.7265625,33.2734375
0000000005.png,46.6796875,33.3203125
0000000005.png,46.69140625,33.30859375
0000000005.png,46.53515625,33.46484375
0000000005.png,46.30078125,33.69921875
0000000005.png,56.6640625,23.3359375
0000000005.png,48.58984375,31.41015625
0000000005.png,46.8125,33.1875
0000000005.png,46.89453125,33.10546875
0000000005.png,47.91796875,32.08203125
0000000005.png,47.84765625,32.15234375
0000000005.png,48.98046875,31.01953125
0000000005.png,48.93359375,31.06640625
0000000005.png,41.2578125,38.7421875
0000000005.png,41.03125,38.96875
0000000005.png,40.01953125,39.98046875
0000000005.png,40.08984375,39.91015625
0000000005.png,39.87890625,40.12109375
0000000005.png,39.6484375,40.3515625
0000000005.png,38.0703125,41.9296875
0000000005.png,38.65234375,41.34765625
0000000005.png,38.0703125,41.9296875
0000000005.png,37.97265625,42.02734375
0000000005.png,37.8203125,42.1796875
0000000005.png,37.72265625,42.27734375
0000000005.png,37.73828125,42.26171875
0000000005.png,18.02734375,61.97265625
0000000005.png,18.14453125,61.85546875
0000000005.png,18.0859375,61.9140625
0000000005.png,17.5625,62.4375
0000000005.png,17.578125,62.421875
0000000005.png,17.265625,62.734375
0000000005.png,17.18359375,62.81640625
0000000005.png,29.35546875,50.64453125
0000000005.png,28.859375,51.140625
0000000005.png,12.8203125,67.1796875
0000000005.png,12.61328125,67.38671875
0000000005.png,12.57421875,67.42578125
0000000005.png,12.5390625,67.4609375
0000000005.png,12.515625,67.484375
0000000005.png,12.58203125,67.41796875
0000000005.png,12.53125,67.46875
0000000005.png,12.51953125,67.48046875
0000000005.png,12.71484375,67.28515625
0000000005.png,22.60546875,57.39453125
0000000005.png,22.984375,57.015625
0000000005.png,23.09765625,56.90234375
0000000005.png,25.34765625,54.65234375
0000000005.png,25.4375,54.5625
0000000005.png,28.12109375,51.87890625
0000000005.png,25.28515625,54.71484375
0000000005.png,28.1328125,51.8671875
0000000005.png,28.08984375,51.91015625
0000000005.png,25.1484375,54.8515625
0000000005.png,25.05859375,54.94140625
0000000005.png,25.05078125,54.94921875
0000000005.png,25.02734375,54.97265625
0000000005.png,25.140625,54.859375
0000000005.png,25.3046875,54.6953125
0000000005.png,25.4609375,54.5390625
0000000005.png,25.59765625,54.40234375
0000000005.png,25.703125,54.296875
0000000005.png,25.79296875,54.20703125
0000000005.png,25.9375,54.0625
0000000005.png,25.9453125,54.0546875
0000000005.png,26.10546875,53.89453125
0000000005.png,26.23046875,53.76953125
0000000005.png,26.3671875,53.6328125
0000000005.png,26.44140625,53.55859375
0000000005.png,26.5703125,53.4296875
0000000005.png,26.62109375,53.37890625
0000000005.png,26.7734375,53.2265625
0000000005.png,26.83203125,53.16796875
0000000005.png,27.015625,52.984375
0000000005.png,27.09765625,52.90234375
0000000005.png,27.25390625,52.74609375
0000000005.png,27.3046875,52.6953125
0000000005.png,27.70703125,52.29296875
0000000005.png,27.74609375,52.25390625
0000000005.png,27.9140625,52.0859375
0000000005.png,27.9140625,52.0859375
0000000005.png,32.55859375,47.44140625
0000000005.png,32.7265625,47.2734375
0000000005.png,32.91796875,47.08203125
0000000005.png,31.703125,48.296875
0000000005.png,46.0078125,33.9921875
0000000005.png,45.421875,34.578125
0000000005.png,45.27734375,34.72265625
0000000005.png,45.2734375,34.7265625
0000000005.png,45.14453125,34.85546875
0000000005.png,45.19921875,34.80078125
0000000005.png,45.2265625,34.7734375
0000000005.png,45.15234375,34.84765625
0000000005.png,44.87109375,35.12890625
0000000005.png,48.07421875,31.92578125
0000000005.png,45.8671875,34.1328125
0000000005.png,37.45703125,42.54296875
0000000005.png,37.49609375,42.50390625
0000000005.png,37.53125,42.46875
0000000005.png,37.5234375,42.4765625
0000000005.png,37.53515625,42.46484375
0000000005.png,37.59765625,42.40234375
0000000005.png,37.2578125,42.7421875
0000000005.png,37.4140625,42.5859375
0000000005.png,37.4296875,42.5703125
0000000005.png,37.6015625,42.3984375
0000000005.png,37.6484375,42.3515625
0000000005.png,37.64453125,42.35546875
0000000005.png,37.16015625,42.83984375
0000000005.png,36.87109375,43.12890625
0000000005.png,36.85546875,43.14453125
0000000005.png,37.0546875,42.9453125
0000000005.png,37.25,42.75
0000000005.png,37.41015625,42.58984375
0000000005.png,37.390625,42.609375
0000000005.png,37.47265625,42.52734375
0000000005.png,37.57421875,42.42578125
0000000005.png,37.44921875,42.55078125
0000000005.png,37.515625,42.484375
0000000005.png,36.95703125,43.04296875
0000000005.png,38.06640625,41.93359375
0000000005.png,38.44140625,41.55859375
0000000005.png,37.98046875,42.01953125
0000000005.png,37.71484375,42.28515625
0000000005.png,37.703125,42.296875
0000000005.png,61.21875,18.78125
0000000005.png,61.4453125,18.5546875
0000000005.png,61.0234375,18.9765625
0000000005.png,61.015625,18.984375
0000000005.png,60.83203125,19.16796875
0000000005.png,60.609375,19.390625
0000000005.png,60.5078125,19.4921875
0000000005.png,60.51171875,19.48828125
0000000005.png,60.453125,19.546875
0000000005.png,60.87890625,19.12109375
0000000005.png,60.99609375,19.00390625
0000000005.png,60.80078125,19.19921875
0000000005.png,60.671875,19.328125
0000000005.png,60.65234375,19.34765625
0000000005.png,51.34765625,28.65234375
0000000005.png,46.94140625,33.05859375
0000000005.png,46.87890625,33.12109375
0000000005.png,46.62109375,33.37890625
0000000005.png,46.2890625,33.7109375
0000000005.png,46.3515625,33.6484375
0000000005.png,46.37890625,33.62109375
0000000005.png,46.64453125,33.35546875
0000000005.png,46.6328125,33.3671875
0000000005.png,46.67578125,33.32421875
0000000005.png,46.15234375,33.84765625
0000000005.png,46.2109375,33.7890625
0000000005.png,44.765625,35.234375
0000000005.png,48.6015625,31.3984375
0000000005.png,46.87890625,33.12109375
0000000005.png,46.74609375,33.25390625
0000000005.png,46.7734375,33.2265625
0000000005.png,46.8203125,33.1796875
0000000005.png,46.828125,33.171875
0000000005.png,48.0859375,31.9140625
0000000005.png,47.9921875,32.0078125
0000000005.png,41.07421875,38.92578125
0000000005.png,34.66015625,45.33984375
0000000005.png,34.15234375,45.84765625
0000000005.png,18.15625,61.84375
0000000005.png,18.1328125,61.8671875
0000000005.png,18.08984375,61.91015625
0000000005.png,17.55859375,62.44140625
0000000005.png,29.46484375,50.53515625
0000000005.png,23.24609375,56.75390625
0000000005.png,12.62109375,67.37890625
0000000005.png,12.5859375,67.4140625
0000000005.png,12.36328125,67.63671875
0000000005.png,12.65625,67.34375
0000000005.png,12.61328125,67.38671875
0000000005.png,22.9296875,57.0703125
0000000005.png,22.99609375,57.00390625
0000000005.png,23.03515625,56.96484375
0000000005.png,23.1171875,56.8828125
0000000005.png,24.765625,55.234375
0000000005.png,24.88671875,55.11328125
0000000005.png,25.3828125,54.6171875
0000000005.png,26.77734375,53.22265625
0000000005.png,26.953125,53.046875
0000000005.png,27.15625,52.84375
0000000005.png,27.6875,52.3125
0000000005.png,27.85546875,52.14453125
0000000005.png,32.86328125,47.13671875
0000000005.png,32.9140625,47.0859375
0000000005.png,33.2421875,46.7578125
0000000005.png,33.46875,46.53125
0000000005.png,33.6953125,46.3046875
0000000005.png,34.04296875,45.95703125
0000000005.png,34.8984375,45.1015625
0000000005.png,34.8828125,45.1171875
0000000005.png,34.828125,45.171875
0000000005.png,35.203125,44.796875
0000000005.png,35.6796875,44.3203125
0000000005.png,35.91015625,44.08984375
0000000005.png,36.15234375,43.84765625
0000000005.png,36.3984375,43.6015625
0000000005.png,31.95703125,48.04296875
0000000005.png,36.56640625,43.43359375
0000000005.png,46.3671875,33.6328125
0000000005.png,46.06640625,33.93359375
0000000005.png,45.50390625,34.49609375
0000000005.png,45.29296875,34.70703125
0000000005.png,45.4140625,34.5859375
0000000005.png,45.1484375,34.8515625
0000000005.png,45.1796875,34.8203125
0000000005.png,45.171875,34.828125
0000000005.png,45.125,34.875
0000000005.png,45.140625,34.859375
0000000005.png,45.08203125,34.91796875
0000000005.png,45.00390625,34.99609375
